title,City,full_address,rank_in_city,total_in_rank_list,overall_rating,count_of_reviews,Excellet_count,VGood_count,Average_count,Poor_count,Terrible_count,full_link,rank_quartile
Le Meridien Cambridge - MIT,Cambridge,"20 Sidney St, Cambridge, MA 02139-4122",11,19,4,251,100,82,30,12,10,https://www.tripadvisor.com/Hotel_Review-g60890-d208446-Reviews-Le_Meridien_Cambridge_MIT-Cambridge_Massachusetts.html,3
The Windsor Inn,Cambridge,"85 Windsor St, Cambridge, MA 02139-3605",11,NA,4.5,4,2,2,0,0,0,https://www.tripadvisor.com/Hotel_Review-g60890-d273606-Reviews-The_Windsor_Inn-Cambridge_Massachusetts.html,3
St. Petersburg Marriott Clearwater,St.Petersburg,"12600 Roosevelt Blvd N, St. Petersburg, FL 33716-1931",16,43,4,343,132,116,50,26,10,https://www.tripadvisor.com/Hotel_Review-g34607-d225133-Reviews-St_Petersburg_Marriott_Clearwater-St_Petersburg_Florida.html,3
Comfort Inn & Suites Northeast - Gateway,St.Petersburg,"875 94th Ave N, St. Petersburg, FL 33702-2444",17,43,4.5,213,124,46,18,4,9,https://www.tripadvisor.com/Hotel_Review-g34607-d1008621-Reviews-Comfort_Inn_Suites_Northeast_Gateway-St_Petersburg_Florida.html,3
Magnuson Hotel Marina Cove,St.Petersburg,"6800 Sunshine Skyway Ln S, St. Petersburg, FL 33711-4901",18,43,3.5,633,170,181,113,57,60,https://www.tripadvisor.com/Hotel_Review-g34607-d217438-Reviews-Magnuson_Hotel_Marina_Cove-St_Petersburg_Florida.html,3
The Birchwood,St.Petersburg,"340 Beach Dr NE, St. Petersburg, FL 33701-3406",19,43,4,173,80,45,21,8,16,https://www.tripadvisor.com/Hotel_Review-g34607-d118060-Reviews-The_Birchwood-St_Petersburg_Florida.html,3
Hotel Indigo St Petersburg Downtown North,St.Petersburg,"234 3rd Ave N, St. Petersburg, FL 33701-3322",20,43,3.5,548,156,167,93,55,50,https://www.tripadvisor.com/Hotel_Review-g34607-d1213782-Reviews-Hotel_Indigo_St_Petersburg_Downtown_North-St_Petersburg_Florida.html,3
La Quinta Inn & Suites St. Petersburg Northeast,St.Petersburg,"6638 4th St N, St. Petersburg, FL 33702-6841",21,43,4,328,113,107,49,22,21,https://www.tripadvisor.com/Hotel_Review-g34607-d589615-Reviews-La_Quinta_Inn_Suites_St_Petersburg_Northeast-St_Petersburg_Florida.html,3
The Cordova Inn,St.Petersburg,"253 2nd Ave N, St. Petersburg, FL 33701-3317",22,43,3.5,129,32,36,30,10,11,https://www.tripadvisor.com/Hotel_Review-g34607-d194178-Reviews-The_Cordova_Inn-St_Petersburg_Florida.html,3
Park Shore Resort,Naples,"600 Neapolitan Way, Naples, FL 34103-8597",25,59,4.5,432,172,114,24,17,7,https://www.tripadvisor.com/Hotel_Review-g34467-d85224-Reviews-Park_Shore_Resort-Naples_Florida.html,3
GreenLinks Golf Villas at Lely Resort,Naples,"7995 Mahogany Run Lane, Naples, FL 34113-1625",26,59,4.5,268,160,59,11,8,3,https://www.tripadvisor.com/Hotel_Review-g34467-d265194-Reviews-GreenLinks_Golf_Villas_at_Lely_Resort-Naples_Florida.html,3
Residence Inn Naples,Naples,"4075 Tamiami Trl N, Naples, FL 34103-3509",27,59,4,512,171,156,55,31,6,https://www.tripadvisor.com/Hotel_Review-g34467-d87448-Reviews-Residence_Inn_Naples-Naples_Florida.html,3
Vanderbilt Beach Resort,Naples,"9225 Gulf Shore Dr, Naples, FL 34108-2098",28,59,4.5,246,151,47,7,5,7,https://www.tripadvisor.com/Hotel_Review-g34467-d85230-Reviews-Vanderbilt_Beach_Resort-Naples_Florida.html,3
The Escalante,Naples,"290 5th Ave S, Naples, FL 34102-6522",29,59,4,233,134,46,11,15,23,https://www.tripadvisor.com/Hotel_Review-g34467-d217424-Reviews-The_Escalante-Naples_Florida.html,3
Courtyard Naples,Naples,"3250 Tamiami Trail North, Naples, FL 34103-4105",30,59,4,437,190,102,57,30,14,https://www.tripadvisor.com/Hotel_Review-g34467-d87439-Reviews-Courtyard_Naples-Naples_Florida.html,3
Port of the Islands Everglades Adventure Resort,Naples,"25000 Tamiami Trl E, Naples, FL 34114-9602",31,59,3.5,487,108,150,50,27,37,https://www.tripadvisor.com/Hotel_Review-g34467-d85225-Reviews-Port_of_the_Islands_Everglades_Adventure_Resort-Naples_Florida.html,3
La Quinta Inn & Suites Naples East (I-75),Naples,"185 Bedzel Cir, Naples, FL 34104-0501",32,59,4,536,153,161,88,37,35,https://www.tripadvisor.com/Hotel_Review-g34467-d225179-Reviews-La_Quinta_Inn_Suites_Naples_East_I_75-Naples_Florida.html,3
Harbour Beach Resort,DaytonaBeach,"701 S Atlantic Ave, Daytona Beach, FL 32118-4511",33,74,3.5,157,31,58,23,16,25,https://www.tripadvisor.com/Hotel_Review-g34172-d265193-Reviews-Harbour_Beach_Resort-Daytona_Beach_Florida.html,3
Bayfront Inn 5th Ave,Naples,"1221 5th Ave S, Naples, FL 34102-6417",33,59,4,869,323,261,132,59,47,https://www.tripadvisor.com/Hotel_Review-g34467-d85217-Reviews-Bayfront_Inn_5th_Ave-Naples_Florida.html,3
SpringHill Suites by Marriott Naples,Naples,"3798 White Lake Blvd, Naples, FL 34117-8405",34,59,4,239,88,89,20,7,5,https://www.tripadvisor.com/Hotel_Review-g34467-d1175263-Reviews-SpringHill_Suites_by_Marriott_Naples-Naples_Florida.html,3
Hawaii Motel,DaytonaBeach,"1361 S Ridgewood Ave, Daytona Beach, FL 32114-6129",35,74,4.5,18,8,7,3,0,0,https://www.tripadvisor.com/Hotel_Review-g34172-d8075097-Reviews-Hawaii_Motel-Daytona_Beach_Florida.html,3
La Quinta Inn & Suites Naples Downtown,Naples,"1555 5th Ave S, Naples, FL 34102-3437",35,59,4,736,216,197,100,45,38,https://www.tripadvisor.com/Hotel_Review-g34467-d87447-Reviews-La_Quinta_Inn_Suites_Naples_Downtown-Naples_Florida.html,3
Super 8 Daytona Beach,DaytonaBeach,"1242 S Ridgewood Ave, Daytona Beach, FL 32114-6178",36,74,4,213,67,81,25,17,18,https://www.tripadvisor.com/Hotel_Review-g34172-d534732-Reviews-Super_8_Daytona_Beach-Daytona_Beach_Florida.html,3
Charter Club Resort of Naples Bay,Naples,"1000 10th Ave S, Naples, FL 34102-8211",36,59,4.5,163,81,57,11,4,1,https://www.tripadvisor.com/Hotel_Review-g34467-d87441-Reviews-Charter_Club_Resort_of_Naples_Bay-Naples_Florida.html,3
Fairfield Inn & Suites Daytona Beach Speedway/Airport,DaytonaBeach,"1820 Checkered Flag Blvd, Daytona Beach, FL 32114-1266",37,74,5,4,4,0,0,0,0,https://www.tripadvisor.com/Hotel_Review-g34172-d12806215-Reviews-Fairfield_Inn_Suites_Daytona_Beach_Speedway_Airport-Daytona_Beach_Florida.html,3
Fairfield Inn & Suites by Marriott Naples,Naples,"3808 White Lake Blvd, Naples, FL 34117-8438",37,59,4,264,109,77,26,11,14,https://www.tripadvisor.com/Hotel_Review-g34467-d1479949-Reviews-Fairfield_Inn_Suites_by_Marriott_Naples-Naples_Florida.html,3
Fountain Beach Resort,DaytonaBeach,"313 South Atlantic Ave, Daytona Beach, FL 32118-4503",38,74,3,299,63,92,50,21,63,https://www.tripadvisor.com/Hotel_Review-g34172-d217346-Reviews-Fountain_Beach_Resort-Daytona_Beach_Florida.html,3
White Sands Resort,Naples,"260 3rd St S, Naples, FL 34102-6363",38,59,4.5,57,32,15,2,3,1,https://www.tripadvisor.com/Hotel_Review-g34467-d260238-Reviews-White_Sands_Resort-Naples_Florida.html,3
Roomba Inn & Suites,DaytonaBeach,"133 S Ocean Ave, Daytona Beach, FL 32118-4321",39,74,3.5,438,148,101,70,41,51,https://www.tripadvisor.com/Hotel_Review-g34172-d84357-Reviews-Roomba_Inn_Suites-Daytona_Beach_Florida.html,3
Holiday Inn Express Naples South - I-75,Naples,"3837 Tollgate Blvd, Naples, FL 34114-5487",39,59,4,24,9,7,4,1,0,https://www.tripadvisor.com/Hotel_Review-g34467-d87458-Reviews-Holiday_Inn_Express_Naples_South_I_75-Naples_Florida.html,3
The Suites at Americano Beach,DaytonaBeach,"1260 N Atlantic Ave, Daytona Beach, FL 32118-3692",40,74,3,363,59,103,101,49,46,https://www.tripadvisor.com/Hotel_Review-g34172-d259118-Reviews-The_Suites_at_Americano_Beach-Daytona_Beach_Florida.html,3
Gulfcoast Inn Naples,Naples,"2555 Tamiami Trl N, Naples, FL 34103-4408",40,59,3.5,386,70,92,41,19,27,https://www.tripadvisor.com/Hotel_Review-g34467-d85211-Reviews-Gulfcoast_Inn_Naples-Naples_Florida.html,3
WoodSpring Suites Daytona Speedway,DaytonaBeach,"2940 W International Speedway Blvd, Daytona Beach, FL 32124-1009",41,74,4,36,19,5,3,4,5,https://www.tripadvisor.com/Hotel_Review-g34172-d11979830-Reviews-WoodSpring_Suites_Daytona_Speedway-Daytona_Beach_Florida.html,3
Comfort Inn and Executive Suites,Naples,"3860 Tollgate Blvd, Naples, FL 34114-5444",41,59,3.5,284,67,106,39,19,21,https://www.tripadvisor.com/Hotel_Review-g34467-d85216-Reviews-Comfort_Inn_and_Executive_Suites-Naples_Florida.html,3
Daytona Beach Club Oceanfront Inn,DaytonaBeach,"800 N Atlantic Ave, Daytona Beach, FL 32118-3716",42,74,2.5,65,11,7,10,8,25,https://www.tripadvisor.com/Hotel_Review-g34172-d84328-Reviews-Daytona_Beach_Club_Oceanfront_Inn-Daytona_Beach_Florida.html,3
